,Alpha-3 code,code,rate,2020_x,2020_y
1,AFG,4,0.37,142504,38928000
2,ALB,8,3.38,97252,2878000
3,DZA,12,0.07,28531,43851000
4,AGO,24,0.06,20445,32866000
5,ATG,28,46.98,46037,98000
6,ARG,32,0.49,219448,45196000
7,ARM,51,2.95,87494,2963000
8,ABW,533,8.95,9576,107000
9,AUS,36,0.41,103446,25500000
10,AUT,40,0.43,39133,9006000
11,AZE,31,0.31,31914,10139000
12,BHS,44,11.94,46921,393000
13,BGD,50,0.16,261496,164689000
14,BRB,52,18.03,51738,287000
15,BLR,112,0.55,51507,9449000
16,BEL,56,0.27,30733,11590000
17,BLZ,84,10.8,42970,398000
18,BMU,60,21.25,13176,62000
19,BOL,68,0.69,80028,11673000
21,BIH,70,3.17,104136,3281000
22,BRA,76,0.24,517519,212559000
23,BGR,100,0.93,64474,6948000
24,KHM,116,0.93,154891,16719000
25,CMR,120,0.26,70087,26546000
26,CAN,124,2.1,793897,37742000
27,CPV,132,6.49,36082,556000
28,CHL,152,0.47,89714,19116000
29,CHN,156,0.15,2184110,1439324000
30,HKG,344,3.08,230584,7497000
31,MAC,446,2.81,18265,649000
32,COL,170,1.61,817604,50883000
33,CRI,188,1.9,96903,5094000
34,CIV,384,0.16,41873,26378000
36,HRV,191,0.88,36110,4105000
37,CUB,192,12.15,1376211,11327000
38,CYP,196,2.46,29674,1207000
39,CZE,203,1.03,110257,10709000
40,COD,180,0.04,37145,89561000
41,DNK,208,0.57,33223,5792000
42,DMA,212,50.02,36016,72000
43,DOM,214,10.76,1167738,10848000
44,ECU,218,2.41,425294,17643000
45,EGY,818,0.2,204993,102334000
46,SLV,222,21.75,1410659,6486000
47,ERI,232,1.46,51625,3546000
48,EST,233,1.21,16109,1327000
49,ETH,231,0.21,245671,114964000
50,FJI,242,5.75,51535,896000
51,FIN,246,0.57,31795,5541000
52,FRA,250,0.25,162365,65274000
53,GMB,270,1.39,33653,2417000
54,GEO,268,0.99,39422,3989000
55,DEU,276,0.64,534203,83784000
56,GHA,288,0.65,201086,31073000
57,GRC,300,1.12,116619,10423000
58,GRD,308,22.39,25303,113000
59,GTM,320,6.85,1226849,17916000
60,GIN,324,0.22,29548,13133000
61,GUY,328,30.7,241573,787000
62,HTI,332,6.19,705361,11403000
63,HND,340,7.8,773045,9905000
64,HUN,348,0.66,63678,9660000
65,ISL,352,2.42,8241,341000
66,IND,356,0.2,2723764,1380004000
67,IDN,360,0.04,105617,273524000
68,IRN,364,0.46,387246,83993000
69,IRQ,368,0.64,256028,40223000
70,IRL,372,2.14,105858,4938000
71,ISR,376,1.55,133771,8656000
72,ITA,380,0.51,309965,60462000
73,JAM,388,26.76,792370,2961000
74,JPN,392,0.25,319968,126476000
75,JOR,400,0.89,91208,10203000
76,KAZ,398,0.19,36353,18777000
77,KEN,404,0.29,156960,53771000
78,KWT,414,0.68,29083,4271000
79,KGZ,417,0.14,8890,6524000
80,LAO,418,2.38,173275,7276000
81,LVA,428,1.18,22342,1886000
82,LBN,422,1.75,119145,6825000
83,LBR,430,2.08,105233,5058000
84,LBY,434,0.2,14059,6871000
86,LTU,440,1.19,32434,2722000
87,LUX,442,0.62,3875,626000
88,MYS,458,0.23,73947,32366000
89,MLT,470,2.75,12154,442000
90,MHL,584,17.7,10442,59000
91,MEX,484,8.42,10853105,128933000
92,FSM,583,10.19,11717,115000
93,MSR,500,196.1,9805,5000
94,MAR,504,0.21,76460,36911000
95,MMR,104,0.29,156410,54410000
97,NPL,524,0.61,176462,29137000
98,NLD,528,0.47,79923,17135000
99,NZL,554,1.03,49640,4822000
100,NIC,558,3.85,255008,6625000
101,NGA,566,0.2,402186,206140000
102,NOR,578,0.33,18055,5421000
103,PAK,586,0.18,408412,220892000
104,PAN,591,2.31,99764,4315000
105,PRY,600,0.65,46170,7133000
106,PER,604,1.32,435868,32972000
107,PHL,608,1.88,2061178,109581000
108,POL,616,1.07,406794,37847000
109,PRT,620,1.88,191313,10197000
110,KOR,410,2.03,1038778,51269000
112,MDA,498,1.13,45713,4034000
113,ROU,642,0.89,170469,19238000
114,RUS,643,0.27,397061,145934000
116,KNA,659,52.39,27765,53000
117,LCA,662,18.46,33973,184000
118,VCT,670,13.67,15175,111000
121,WSM,882,13.73,27186,198000
122,SAU,682,0.22,77946,34814000
123,SEN,686,0.37,61497,16744000
124,SRB,688,0.46,39837,8737000
125,SLE,694,0.56,44384,7977000
126,SGP,702,0.57,33505,5850000
127,SVN,705,0.68,14046,2079000
128,SOM,706,0.76,120671,15893000
129,ZAF,710,0.2,117321,59309000
130,ESP,724,0.22,102633,46755000
131,LKA,144,0.24,51543,21413000
132,PSE,275,1.14,58389,5101000
134,SUR,740,3.66,21498,587000
135,SWE,752,0.4,40687,10099000
136,CHE,756,0.55,47989,8655000
137,SYR,760,0.48,84169,17501000
138,TJK,762,0.07,6979,9538000
139,THA,764,0.37,256642,69800000
140,MKD,807,1.58,32866,2083000
141,TON,776,26.94,28559,106000
142,TTO,780,14.87,208075,1399000
143,TUN,788,1.49,175685,11819000
144,TUR,792,0.13,112943,84339000
145,TKM,795,0.06,3347,6031000
146,UGA,800,0.15,66421,45741000
147,UKR,804,0.85,370255,43734000
148,ARE,784,0.18,18046,9890000
149,GBR,826,0.99,673667,67886000
150,TZA,834,0.12,73021,59734000
151,URY,858,1.45,50274,3474000
152,UZB,860,0.19,63496,33469000
153,VEN,862,1.78,505647,28436000
155,VNM,704,1.44,1403193,97339000
157,YEM,887,0.19,56816,29826000
158,ZMB,894,0.2,36122,18384000
159,ZWE,716,0.54,80606,14863000
160,PRI,630,63.94,1829251,2861000
161,USA,840,0,0,0