country,neighborhood,rural_urban,sex,age,family_type,family_size,mig_int_global,mig_plan_global,mig_prep_global,mig_int_dom,mig_plan_dom,mig_prep_dom,ppl_mig_num_5y,currency,exp_monthly_food,income_exp_month_food,income_month_avg,deposit_currency,monthly_income,CARI
GT,MONAJIL,1,1,57,2,3,0,,,0,,,2,3,400,2,1,3,700,2
GT,MONAJIL,1,2,74,9,1,0,,,0,,,0,3,200,2,1,3,400,2
GT,Canton las tablas,1,1,38,1,7,0,,,0,,,1,3,400,3,1,3,1000,2
GT,Canton las tablas,1,1,25,1,5,0,,,1,0,,0,3,600,3,1,3,900,2
GT,La Tablas,1,2,38,1,7,0,,,1,1,0,0,3,2000,1,0,,,2
GT,Las Tablas,1,1,51,5,6,0,,,0,,,0,3,600,2,0,,,2
GT,"Nuevo Reforma, Majada",1,1,70,1,2,0,,,0,,,0,3,300,2,1,3,1200,2
GT,PEB'IL MAP,1,2,66,1,2,0,,,0,,,0,3,1200,2,0,,,2
GT,PEB'IL PAM,1,1,36,1,6,0,,,0,,,1,3,500,2,0,,,2
GT,PEBI'L PAM,1,1,20,1,2,0,,,0,,,1,3,500,1,0,,,2
GT,Tajumulco,2,1,30,1,7,0,,,0,,,0,3,900,2,1,3,2000,2
GT,Esquipulas,2,1,24,5,5,0,,,0,,,0,3,700,2,1,3,4500,2
GT,Ixmoco,1,1,62,2,3,0,,,0,,,1,3,500,3,1,3,1500,2
GT,"Caserio Ixmoco, Comintancillo",1,2,66,1,2,0,,,0,,,0,3,400,2,0,,,2
GT,Caserio ixmoco,1,2,63,1,11,0,,,1,0,,0,3,600,2,1,3,600,2
GT,QUIPAMBE,1,2,44,3,2,0,,,1,0,,0,3,450,5,0,,,2
GT,Tzojbal,1,1,60,5,5,0,,,0,,,0,3,700,3,0,,,2
GT,CONCEPCION HUISTA,2,2,22,5,5,0,,,0,,,1,3,300,1,1,3,2250,2
GT,CONCEPCION HUISTA,2,1,24,5,6,0,,,0,,,0,3,400,2,1,3,1000,2
GT,Aldea Tzojbal,1,1,65,2,3,0,,,0,,,0,3,100,2,1,3,300,2
GT,Aldea san Antonio Serhil,1,1,40,1,8,0,,,99,,,0,3,1000,5,1,3,900,2
GT,SAN JUAN IXCOY,2,1,90,9,1,0,,,0,,,0,3,150,2,0,,,2
GT,SAN JUAN IXCOY,2,1,28,1,7,0,,,0,,,0,3,300,2,0,,,2
GT,SAN JUAN IXCOY,2,1,26,5,13,0,,,0,,,0,3,1000,2,0,,,2
GT,Aldea Nahuatan,1,1,25,5,2,0,,,0,,,0,3,800,5,0,,,2
GT,Aldea Nahuatan,1,2,58,1,4,0,,,0,,,2,3,2000,1,0,,,2
GT,Aldea  Nahuatan,1,1,26,1,4,0,,,0,,,0,3,800,5,0,,,2
GT,Nahuatan,1,1,55,2,3,0,,,0,,,1,3,800,2,1,3,1800,2
GT,TEMUX GRANDE,1,1,32,5,10,0,,,0,,,1,3,800,1,1,3,2500,2
GT,TEMUX GRANDE,1,2,96,9,1,0,,,0,,,0,3,300,1,0,,,2
GT,Aldea Zalaj Chiquito,1,1,35,1,10,0,,,0,,,2,3,2500,1,0,,,2
GT,INCÚ,1,1,24,1,4,0,,,0,,,0,3,400,2,1,3,1300,2
GT,SAN SEBASTIAN COATAN,2,1,42,1,3,0,,,0,,,0,3,700,1,1,3,3000,2
GT,SAN SEBASTIAN COATAN,2,1,25,1,3,0,,,0,,,0,3,500,1,1,3,2500,2
GT,Bo. Ls Flores,1,1,28,1,3,0,,,1,1,0,0,3,300,5,1,3,700,2
GT,Aldea Chicol Centro,1,2,54,1,3,0,,,0,,,0,3,800,2,0,,,2
SLV,Canton zapotillo,1,1,37,1,4,0,,,0,,,0,1,50,3,0,,,2
SLV,Palo verde,1,1,77,2,2,0,,,0,,,0,1,50,2,1,1,100,2
HND,Las Cañas,1,1,87,1,8,0,,,0,,,2,2,2000,1,1,2,2000,2
HND,El zapotillo,1,1,60,9,1,0,,,0,,,0,2,500,1,1,2,2000,2
GT,Colonia san josé la colonia,2,1,30,1,7,0,,,0,,,0,3,800,5,0,,,2
GT,San jose la colonia,2,1,58,1,6,0,,,0,,,1,3,1000,4,0,,,2
GT,Zona 8,2,1,68,2,2,0,,,0,,,0,3,200,2,1,3,500,2
GT,Zona 3 Coban,2,1,60,2,5,0,,,0,,,0,3,1500,5,1,3,1500,2
GT,Urbano,2,1,63,2,4,0,,,99,,,0,3,100,5,1,3,500,2
HND,San Judas,1,2,59,1,8,0,,,0,,,0,2,1000,5,99,,,2
GT,SACCHÉN,1,2,46,1,4,0,,,0,,,0,3,1200,2,1,3,2000,2
GT,Cahaboncito,1,2,54,1,6,0,,,0,,,0,3,600,5,1,3,800,2
HND,Tegucigalpita,1,1,37,2,6,0,,,0,,,0,2,0,3,0,,,2
HND,La Pabellona,1,2,74,1,10,0,,,0,,,0,2,1000,5,99,,,2
HND,La ermita,1,1,41,8,5,0,,,0,,,1,2,1500,2,1,2,3000,2
GT,Aldea las conchas,1,1,40,1,7,0,,,0,,,0,3,200,2,0,,,2
GT,Aldea sequixquib,1,1,30,1,4,0,,,0,,,0,3,200,5,1,3,500,2
GT,Aldea sequixquib,1,1,80,1,3,0,,,0,,,0,3,100,5,99,,,2
GT,Aldea sequixquib,1,1,36,1,6,0,,,0,,,1,3,150,5,1,3,350,2
GT,San agustin viejo cahal,1,2,35,1,8,0,,,0,,,0,3,400,5,1,3,600,2
GT,San agustin viejo chahal,1,1,42,1,2,0,,,0,,,0,3,450,5,0,,,2
GT,San agustin viejo chahal,1,1,28,1,6,0,,,0,,,0,3,600,5,0,,,2
GT,Aldea San Agustin Viejo,1,2,55,5,9,0,,,0,,,0,3,400,5,1,3,350,2
GT,Aldea chicoban,1,1,33,1,3,0,,,0,,,0,3,350,5,1,3,600,2
GT,Caserio nuevo san julian,1,2,66,1,2,0,,,0,,,0,3,200,2,1,3,600,2
HND,El Encino,1,1,68,2,8,0,,,0,,,0,2,1800,4,0,,,2
GT,Aldea Sequixquib,1,1,42,2,6,0,,,0,,,1,3,700,5,99,,,2
SLV,Guayabo,1,1,35,5,15,0,,,1,0,,0,1,150,5,1,1,350,2
GT,Las islas,1,1,37,1,5,0,,,0,,,1,3,500,5,0,,,2
GT,Las islas,1,1,61,1,5,0,,,0,,,0,3,300,5,0,,,2
GT,La Isla,1,2,70,3,6,0,,,0,,,0,3,800,4,1,3,1500,2
GT,Aldea La Isla,1,2,36,5,8,0,,,0,,,0,3,200,4,0,,,2
GT,Aldea La Isla,1,2,22,5,10,0,,,99,,,4,3,12000,3,1,3,2000,2
GT,Aldea La Isla,1,1,17,5,5,0,,,0,,,0,3,400,1,0,,,2
HND,El Encino,1,1,44,1,3,0,,,1,1,1,0,2,1200,4,1,2,1000,2
HND,El Encino,1,1,36,1,5,0,,,0,,,1,2,2100,3,1,2,1500,2
GT,Urbano,2,1,18,1,7,0,,,0,,,1,3,400,99,1,3,800,2
GT,Barrio San José,2,2,59,1,6,0,,,0,,,0,3,500,3,1,3,1800,2
GT,Barrio San José,2,1,76,5,12,0,,,0,,,0,3,1200,3,0,,,2
HND,San Francisco de soroguara,1,1,75,1,3,0,,,0,,,0,2,900,5,1,2,4000,2
GT,Aldea Tuila,1,1,41,2,8,0,,,0,,,0,3,200,5,1,3,800,2
GT,Aldea Tuila,1,1,60,2,4,0,,,99,,,1,3,450,5,1,3,3000,2
GT,Aldea Canaan sector 1,1,1,67,2,5,0,,,0,,,0,3,80,4,99,,,2
GT,Sector 6 canaan,1,1,60,2,5,0,,,0,,,0,3,200,2,0,,,2
SLV,Distrito Italia,2,1,33,1,6,0,,,0,,,0,1,100,5,1,1,300,2
SLV,Distrito Italia,2,2,54,1,4,0,,,0,,,0,1,100,2,1,1,240,2
SLV,Distrito Italia,2,2,58,1,6,0,,,0,,,0,1,50,5,0,,,2
HND,Apacinigua,1,1,23,1,3,0,,,0,,,0,2,3000,1,0,,,2
HND,Apacinigua,1,1,38,2,4,0,,,0,,,0,2,1000,5,1,2,1000,2
GT,Aldea canlech,1,1,19,1,3,0,,,0,,,0,3,300,3,1,3,800,2
GT,Chirretzaaj zona 6,2,1,52,1,6,0,,,0,,,0,3,200,5,1,3,1000,2
GT,Chimolon,1,2,33,1,6,0,,,0,,,0,3,1000,5,1,3,1200,2
SLV,Caserio Santo Domingo,1,1,55,1,4,0,,,1,0,,0,1,100,5,99,,,2
GT,"Colonia el esfuerzo 2, zona 12",2,1,40,2,4,0,,,0,,,1,3,600,3,99,,,2
GT,Aldea xuctzul,1,1,23,1,4,0,,,99,,,0,3,300,2,1,3,2000,2
GT,Aldea Chimolon,1,1,28,1,4,0,,,0,,,0,3,150,5,1,3,300,2
GT,Aldea chimolon.,1,1,48,1,10,0,,,0,,,0,3,300,5,1,3,1500,2
HND,"La Ceibita, Santa Cruz",1,1,34,1,7,0,,,0,,,0,2,3000,5,1,2,4500,2
SLV,La anchila,1,1,41,2,4,0,,,0,,,0,1,150,5,1,1,400,2
HND,COLONIA SAN JOSE,1,2,63,1,3,0,,,0,,,1,2,1000,5,99,,,2
HND,COLONIA SAN JOSE,1,2,45,1,5,0,,,0,,,0,2,1000,5,99,,,2
HND,COL SAN JOSE,1,1,32,3,4,0,,,0,,,0,2,2000,4,1,2,3000,2
HND,Barrio el centro,2,2,86,9,1,0,,,0,,,0,2,0,5,0,,,2
HND,Kilómetro 71 búfalo,2,1,59,2,5,0,,,0,,,0,2,5000,5,99,,,2
HND,Colonia la torre,1,1,90,2,3,0,,,0,,,0,2,1600,4,0,,,2
HND,Barrio lempira,1,1,34,1,5,0,,,0,,,0,2,1600,3,0,,,2
HND,COL. SAN JOSE,1,1,25,2,2,0,,,1,0,,0,2,800,5,0,,,2
HND,COL SAN JOSE,1,1,43,2,4,0,,,1,0,,0,2,3000,5,0,,,2
GT,Aldea Atulapa,1,2,22,1,3,0,,,0,,,0,3,1200,5,1,3,2500,2
GT,Aldea Atulapa,1,1,29,2,3,0,,,0,,,0,3,600,5,1,3,1000,2
GT,Canton Tonina,1,2,88,3,5,0,,,0,,,0,3,500,4,1,3,1500,2
GT,Canton Tonina,1,1,26,1,12,0,,,0,,,0,3,1000,3,1,3,3000,2
GT,"Nueva Reforma,  Majadas",1,1,20,10,7,0,,,99,,,1,3,200,4,1,3,400,2
HND,General Madrid,1,1,37,1,5,0,,,0,,,0,2,4000,2,0,,,2
HND,El encanto,1,2,78,9,1,0,,,0,,,0,2,300,5,0,,,2
HND,Macro albergue,1,1,64,1,4,0,,,1,1,0,2,2,0,5,0,,,2
HND,Kilometro 71 búfalo,1,1,29,1,7,0,,,0,,,0,2,2000,2,1,2,10000,2
HND,Kilometro 71 búfalo,1,1,31,1,5,0,,,0,,,0,2,1000,5,0,,,2
HND,Chivana,1,1,81,1,6,0,,,0,,,0,2,1000,5,1,2,1000,2
HND,Rio lindo colonia la Belén,1,1,30,1,4,0,,,0,,,0,2,3000,5,0,,,2
GT,Aldea los Espinos,1,1,41,5,10,0,,,0,,,0,3,1200,5,1,3,450,2
HND,"Comunidad, Santa Cruz",1,2,42,8,2,0,,,0,,,1,2,1400,5,1,2,5000,2
HND,Comunidad San Isidro,1,1,56,2,5,0,,,0,,,1,2,3000,5,1,1,200,2
GT,Aldes las lagunad,1,1,41,1,3,0,,,1,0,,0,3,1600,2,1,3,1500,2
GT,Aldea las lagunas,1,1,35,1,9,0,,,0,,,0,3,800,3,1,3,3000,2
GT,La Trinidad,1,1,65,2,2,0,,,0,,,0,3,500,5,0,,,2
GT,El Platanar,1,1,45,5,6,0,,,0,,,1,3,400,5,0,,,2
GT,Chaculá,1,1,56,2,6,0,,,0,,,0,3,600,5,1,3,1500,2
GT,Chacaj,1,2,72,1,2,0,,,0,,,0,2,500,5,1,3,1000,2
HND,FLORES  DE ORIENTE,1,1,50,1,3,0,,,0,,,0,2,2000,5,99,,,2
HND,FLORES DE ORIENTE,1,2,66,1,7,0,,,0,,,0,2,3000,5,99,,,2
GT,TOJUCHOC,1,1,80,1,2,0,,,0,,,0,3,400,3,0,,,2
GT,Aldea Chacaj,1,1,39,2,3,0,,,0,,,0,3,400,3,1,3,1200,2
GT,Aldea tuiquimamel,1,1,70,1,3,0,,,0,,,0,3,250,5,99,,,2
GT,Tzojbal,1,1,48,5,11,0,,,0,,,0,3,3000,4,0,,,2
GT,Caserio los bujes,1,1,28,1,9,0,,,1,1,1,0,3,800,2,1,3,1500,2
GT,Caparja,1,1,19,1,6,0,,,0,,,0,3,40,5,99,,,2
GT,Caparja,1,2,30,1,6,0,,,0,,,0,3,200,5,0,,,2
HND,Col. Suyapa Chamelecon,2,1,40,1,5,0,,,1,0,,0,2,2800,5,1,2,8000,2
GT,Aldea Quixal,1,1,37,5,5,0,,,0,,,0,3,700,3,1,3,960,2
GT,Aldea Tzala Chiquito,1,1,36,1,7,0,,,0,,,1,3,800,3,1,3,1700,2
HND,LIMA CENTRO,1,2,67,1,5,0,,,0,,,0,2,2000,5,1,2,8500,2
HND,LIMA CENTRO,2,2,38,3,5,0,,,0,,,0,2,2500,5,1,2,8500,2
HND,Macro albergue,1,1,49,2,4,0,,,0,,,0,2,100,3,1,2,3000,2
SLV,Barrio el Calvario,2,1,62,1,4,0,,,0,,,0,1,40,2,1,1,200,2
SLV,Caserio los martinez,1,1,24,1,7,0,,,0,,,1,1,0,5,0,,,2
SLV,San  Marcos Lempa,1,2,51,1,5,0,,,0,,,0,1,300,4,1,1,1500,2
SLV,San Marcos Lempa,1,1,30,1,5,0,,,0,,,0,1,250,5,1,1,300,2
SLV,"Ojo de agua, los miranda",1,2,65,1,5,0,,,1,0,,0,1,40,2,1,1,150,2
SLV,San marcos lempa,1,1,48,1,5,0,,,0,,,0,1,100,4,1,1,150,2
SLV,Caserio la escuelita,1,1,50,1,7,0,,,0,,,0,1,50,5,99,,,2
HND,Las Cañas,1,1,43,1,4,0,,,0,,,2,2,2000,5,1,2,2000,2
GT,Canton canada san marcos el Quetzal,2,1,74,1,9,0,,,0,,,0,3,150,5,1,3,900,2
SLV,Ojo de agua caserio los ayala,1,2,34,1,3,0,,,0,,,0,1,150,2,99,,,2
SLV,"Ojo de agua,caserio los miranda",1,1,58,1,4,0,,,0,,,0,1,150,1,0,,,2
SLV,"Ojo de agua,los granados",1,1,48,5,4,0,,,99,,,0,1,200,5,99,,,2
SLV,"Ojo de agua,los granados",1,1,72,2,3,0,,,0,,,0,1,50,5,99,,,2
HND,LA LIMA CENTRO,2,2,49,2,2,0,,,0,,,0,2,1000,5,99,,,2
HND,LA LIMA CENTRO,2,1,58,1,11,0,,,0,,,0,2,4000,5,0,,,2
GT,Urbano,2,1,33,1,6,0,,,0,,,0,3,300,5,1,3,400,2
GT,Urbano,2,1,65,2,2,0,,,0,,,0,3,200,5,1,3,200,2
GT,San jose el rodeo,2,1,38,2,7,0,,,0,,,0,3,600,5,1,3,900,2
HND,Barrio sinahi,2,1,56,1,6,0,,,0,,,0,2,5000,5,1,2,20,2
GT,Quixal,1,2,58,1,4,0,,,0,,,0,3,0,5,0,,,2
SLV,LIMONERA,1,1,24,1,4,0,,,1,0,,0,1,30,4,1,1,50,2
SLV,"Ojo de Agua, Los Granados",1,1,30,1,4,0,,,0,,,0,1,150,3,1,1,150,2
GT,FRATERNIDAD,1,2,70,1,2,0,,,0,,,0,3,400,3,1,3,750,2
GT,Ssn rafael pie de la cuesta,2,1,41,1,6,0,,,0,,,0,3,500,5,1,3,800,2
GT,Aldea Camojallito,1,1,52,2,3,0,,,0,,,0,3,240,3,1,3,1000,2
HND,Barrio Pinares,2,1,40,2,3,0,,,0,,,0,2,2500,5,1,2,1000,2
SLV,Santa gema,1,1,26,1,4,0,,,1,1,1,0,1,100,5,1,1,300,2
SLV,Conceccion,2,1,68,2,2,0,,,0,,,0,1,50,5,99,,,2
SLV,El Porvenir,1,1,42,1,6,0,,,0,,,0,1,50,3,1,1,200,2
HND,Luquigue,1,1,48,1,6,0,,,0,,,2,2,600,5,1,2,2800,2
SLV,La Anchila,1,1,20,1,4,0,,,1,0,,0,1,120,5,1,1,240,2
HND,Bella Vista,2,1,63,9,2,0,,,0,,,0,2,1500,5,1,2,4000,2
HND,Colonia Adrian Bladimiro Zepeda,2,1,47,1,3,0,,,0,,,0,2,2500,1,1,2,3000,2
GT,Sector de los Buges,2,1,71,2,2,0,,,0,,,0,3,200,5,99,,,2
GT,San Ildefonso Ixtahuacán,1,1,66,1,5,0,,,1,0,,0,3,0,3,99,,,2
GT,Sector urbano,1,1,25,2,3,0,,,0,,,0,3,300,5,99,,,2
GT,Sector urbano,1,1,19,1,4,0,,,0,,,0,3,200,5,1,3,1000,2
HND,las vegas,1,1,44,1,3,0,,,1,0,,1,2,1300,4,99,,,2
GT,Malacatancito,2,1,63,2,5,0,,,0,,,0,3,1000,4,1,3,3000,2
SLV,Hacienda la garrasposa,1,2,32,1,4,0,,,1,0,,0,1,50,5,1,1,100,2
SLV,Caserio el rodeo 2,1,1,40,1,5,0,,,0,,,1,1,25,5,1,1,100,2
SLV,Zapotillo,1,1,34,5,8,0,,,1,0,,0,1,60,5,1,1,200,2
SLV,La Carrasposa,1,1,43,5,8,0,,,0,,,0,1,30,4,0,,,2
SLV,Barrio el calvario,2,1,39,1,5,0,,,0,,,0,1,150,5,1,1,200,2
SLV,Barrio el calvario,2,1,35,1,5,0,,,0,,,0,1,100,5,1,1,150,2
SLV,Palo verde,1,1,42,1,3,0,,,1,0,,0,1,50,5,0,,,2
HND,El Guanigiquil,1,1,30,1,4,0,,,0,,,0,2,1500,4,1,2,1000,2
HND,El Guanigiquil,1,2,45,1,4,0,,,1,1,0,1,2,2500,3,1,2,3500,2
HND,El Guanigiquil,1,2,54,1,7,0,,,0,,,1,2,2500,5,1,2,1000,2
SLV,Tulapa,1,1,20,1,3,0,,,0,,,0,1,45,5,1,1,80,2
SLV,Finca el paraiso,1,1,25,1,4,0,,,0,,,0,1,0,5,0,,,2
SLV,Tulapa,1,1,62,1,4,0,,,1,0,,0,1,80,5,99,,,2
SLV,Tulapa,1,1,18,1,3,0,,,1,0,,0,1,40,5,1,1,50,2
GT,Barrio El Cerro,2,2,31,4,4,0,,,0,,,0,3,0,5,0,,,2
HND,San jerónimo,2,1,58,2,4,0,,,0,,,0,2,3000,2,1,2,8000,2
HND,San jeronimo,1,1,27,1,4,0,,,1,0,,1,2,800,5,1,2,2500,2
HND,San jerónimo,1,1,25,1,4,0,,,0,,,0,2,1500,5,1,2,3500,2
HND,Las Cañas,1,1,60,1,9,0,,,0,,,2,2,1500,5,1,2,1000,2
HND,Las Cañas,1,1,65,1,9,0,,,0,,,0,2,1000,5,1,2,1000,2
HND,"Sulaco,Col. 22 de Mayo",2,1,38,1,4,0,,,0,,,1,2,700,5,1,2,1000,2
HND,"Sulaco, Barrio Brisas del Norte",2,1,45,1,14,0,,,0,,,3,2,800,5,1,2,1500,2
